objectid,title,date,format,arastirmaci,eser_adi,sayfa_no,padisah_donemi,muellif_adi,muellif_olum_tarihi,mustensih_adi,telif_tarih_hicri,telif_basim,telif_tarih_miladi,istinsah_tarihi,eser_dili,eser_alt_turu,yazin_turu,yazi_turu,baglanti_turu,baglantili_eser_adi,baglantili_eser_yazari,baglantili_eser_tarihi,baglantili_eser_dili,cilt_sayisi,yazildigi_yer,istinsah_yeri,kutupane_koleksiyon,alt_koleksiyon_numara,su_anda_kutupane,latitude,longitude,ulke,sehir,takdim_hediye,tarihsel_kapsam,tematik_kapsam,notlar,arastirmaci_notu,,
babinger_0001,Menâkıb-i âl-i Osmân ta Yıldırım Hana Gelince,,record,Ahmed Said Sözen,Menâkıb-i âl-i Osmân ta Yıldırım Hana Gelince,11,,Yahşi Fakîh,1414,,,,,,,,,,,,,,,,,,,,,,,,,,...1389 (I. Murad'ın ölümü),1389'a kadar geçen vakaları anlattığı tahmin edilmektedir.,Bilinen en eski Osmanlı tarih yazarıdır. Aşıkpaşazade hastalanarak evinde yattığında bir tanıdık olan olarak Yahşi Fakih'in babası olan İshak'tan bahsetmektedir. Yahşi'nin menâkıbnamesinden de açıkça bahseder. Bu anlamda bilinen en eski Osmanlı tarih yazarıdır.,,,
babinger_0002,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Berlin Devlet Kütüphanesi,or. 8° 965,,52.507756,13.37086122,Almanya,Berlin,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0003,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Berlin Devlet Kütüphanesi,or. 4° 1271,,52.507756,13.37086122,Almanya,Berlin,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0004,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Gotha Kütüphanesi,Nu. 184,,50.94788471,10.70937885,Almanya,Gotha,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0005,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Gotha Kütüphanesi,Nu. 185,,50.94788471,10.70937885,Almanya,Gotha,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0006,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Gotha Kütüphanesi,Nu. 186,,50.94788471,10.70937885,Almanya,Gotha,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0007,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Münih Devlet Kütüphanesi,Nu. 174,,48.14761466,11.58030024,Almanya,Münih,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0008,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Paris Milli Kütüphanesi,Nu. 309,,48.83393323,2.375792984,Fransa,Paris,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0009,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Paris Milli Kütüphanesi,Nu. 310,,48.83393323,2.375792984,Fransa,Paris,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0010,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Paris Milli Kütüphanesi,Nu. 311,,48.83393323,2.375792984,Fransa,Paris,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
